molecule,odor
C(=O)C=O,"SubString{String}[""mild"", ""sour"", ""burnt"", ""caramellic""]"
COC=O,"SubString{String}[""fruity"", ""estery"", ""plum"", ""ethereal"", ""fresh"", ""warm"", ""winey"", ""rum""]"
CC(CCCC(C)(C)O)CCO,"SubString{String}[""clean"", ""floral"", ""rose"", ""green"", ""peony"", ""lily"", ""sweet""]"
CC(CCCC(C)(C)O)CC=O,"SubString{String}[""sweet"", ""floral"", ""melon"", ""green"", ""lily"", ""tropical"", ""waxy""]"
CC(C)CCN,"SubString{String}[""ammoniacal"", ""cheesy""]"
CC(=CC=O)C,"SubString{String}[""sweet"", ""cherry"", ""nutty"", ""fruity"", ""brown"", ""almond"", ""pungent"", ""spicy""]"
CCCC(=O)C,"SubString{String}[""sweet"", ""fermented"", ""banana"", ""fruity"", ""winey"", ""ethereal"", ""woody"", ""ketonic"", ""dairy"", ""rum""]"
CCCC(=O)O,"SubString{String}[""acetic"", ""fruity"", ""dairy"", ""cheesy"", ""buttery"", ""sharp"", ""sour""]"
C/C=C/C(=O)O,"SubString{String}[""milky"", ""spicy"", ""caramellic"", ""sour"", ""sharp"", ""burnt""]"
CC(=O)CCC(=O)OCC=C,"SubString{String}[""banana"", ""peel"", ""fruity"", ""green"", ""burnt"", ""sweet""]"
CC(=O)C1=CC=CN1,"SubString{String}[""musty"", ""cherry"", ""maraschino"", ""nutty"", ""walnut"", ""bready"", ""coumarinic"", ""licorice"", ""nut"", ""skin"", ""tea""]"
CC1(CCC(=O)O1)C=C,"SubString{String}[""minty"", ""fruity"", ""floral""]"
CCC(=O)C1=CC=CN1,"SubString{String}[""roasted"", ""popcorn"", ""green""]"
CSC1=CC=CC=C1O,"SubString{String}[""meaty"", ""sulfurous"", ""eggy"", ""garlic"", ""onion"", ""caramellic"", ""burnt"", ""brothy"", ""smoky"", ""beefy""]"
CC1=CC(=C(C=C1)C(C)C)OC,"SubString{String}[""burnt"", ""herbal"", ""smoky"", ""woody"", ""spicy""]"
CC(C)CC(=O)C,"SubString{String}[""solvent"", ""spicy"", ""herbal"", ""fruity"", ""green"", ""dairy"", ""sharp"", ""sweet"", ""ethereal""]"
CC(C)CC(C)O,"SubString{String}[""alcoholic"", ""pungent"", ""solvent"", ""green"", ""oily"", ""fermented"", ""winey""]"
CC(C)OC(=O)C,"SubString{String}[""sweet"", ""banana"", ""fruity"", ""ethereal"", ""chemical"", ""sharp""]"
CC(=C)OC(=O)C,"SubString{String}[""sweet"", ""grape"", ""skin"", ""berry"", ""acetic"", ""fruity"", ""ethereal"", ""cognac"", ""rum""]"
CC1CCC(=O)O1,"SubString{String}[""sweet"", ""warm"", ""cocoa"", ""herbal"", ""tobacco"", ""woody"", ""coumarinic"", ""hay""]"
CC1=CC(=CC=C1)O,"SubString{String}[""woody"", ""phenolic"", ""medicinal"", ""leathery"", ""dry""]"
C1=CC(=CC(=C1)O)O,"SubString{String}[""musty"", ""vanilla"", ""nutty"", ""phenolic"", ""creamy"", ""hawthorn"", ""odorless""]"
CC1=CC(=NC=C1)C,"SubString{String}[""smoky"", ""phenolic"", ""green"", ""fishy"", ""animal"", ""mint""]"
CC1=NC(=CC=C1)C,"SubString{String}[""vegetable"", ""cocoa"", ""nutty"", ""oily"", ""bready"", ""fishy"", ""woody"", ""ammoniacal"", ""green"", ""coffee"", ""herbal"", ""musty""]"
CC1=CN=CC(=N1)C,"SubString{String}[""cocoa"", ""buttermilk"", ""nutty"", ""coffee"", ""beefy"", ""brown"", ""ethereal"", ""roasted"", ""chocolate"", ""meaty"", ""potato""]"
COC(=O)CC(=O)OC,"SubString{String}[""fruity"", ""green"", ""apple"", ""ethereal""]"
CCOC(=O)CC(C)C,"SubString{String}[""sweet"", ""estery"", ""fruity"", ""pineapple"", ""apple"", ""orange"", ""green"", ""tutti"", ""frutti"", ""sharp"", ""banana"", ""winey"", ""buttery""]"
CC(C)CC(CC(C)C)O,"SubString{String}[""fermented"", ""yeasty"", ""fresh"", ""ethereal"", ""green"", ""fruity"", ""winey"", ""sweet""]"
CC(C)CC(=O)CC(C)C,"SubString{String}[""metallic"", ""fermented"", ""banana"", ""fruity"", ""pineapple"", ""green"", ""ethereal"", ""ketonic"", ""sweet""]"
CC(C)CC(C)OC(=O)C,"SubString{String}[""sweet"", ""fruity"", ""banana"", ""apple"", ""fresh""]"
C1CCC(CC1)O,"SubString{String}[""camphoreous"", ""phenolic"", ""mentholic"", ""fermented"", ""mint""]"
C1CCC(=O)CC1,"SubString{String}[""acetone"", ""minty"", ""ketonic"", ""solvent"", ""camphoreous"", ""sweet"", ""mint""]"
C1=CC=C(C=C1)O,"SubString{String}[""plastic"", ""phenolic"", ""rubbery"", ""medicinal""]"
C1=CC=C(C=C1)S,"SubString{String}[""meaty"", ""rubbery"", ""sulfurous"", ""garlic"", ""alliaceous"", ""phenolic"", ""burnt""]"
CC(=O)/C=C/C1=CC(=C(C=C1)O)OC,"SubString{String}[""sweet"", ""vanilla"", ""powdery"", ""creamy"", ""balsamic"", ""spicy"", ""warm""]"
C[C@H]1CC[C@H]([C@H]2[C@H]1C=C[C@@H](C2)C)C(C)C,"SubString{String}[""woody"", ""vetiver"", ""fresh"", ""herbal"", ""burnt"", ""dry""]"
CC1CCCCN1,"SubString{String}[""corn"", ""chip"", ""taco"", ""fishy"", ""seafood"", ""ammoniacal"", ""roasted"", ""nutty"", ""popcorn"", ""cheesy""]"
CC1=CC=CC=N1,"SubString{String}[""sweat"", ""fishy"", ""hazelnut"", ""popcorn"", ""rum""]"
CC1=NC=CN=C1,"SubString{String}[""musty"", ""cocoa"", ""nutty"", ""brown"", ""green"", ""peanut"", ""roasted"", ""earthy"", ""nut"", ""skin"", ""chocolate"", ""fishy"", ""potato""]"
CCCCCCCCOC(=O)C(C)C,"SubString{String}[""aldehydic"", ""clean"", ""fruity"", ""oily"", ""creamy"", ""green"", ""earthy"", ""soapy"", ""waxy"", ""fatty"", ""herbal"", ""vegetable""]"
CCCCOC(=O)CC(C)C,"SubString{String}[""sweet"", ""fruity"", ""pineapple"", ""apple"", ""pear"", ""green"", ""pungent"", ""peach"", ""banana"", ""ethereal""]"
CC(C)CC(=O)OCC/C(=C/CC=C(C)C)/C,"SubString{String}[""sweet"", ""blueberry"", ""herbal"", ""melon"", ""fruity"", ""pineapple"", ""oily"", ""apple"", ""green"", ""rose"", ""tropical""]"
CCCCOC(=O)CCC,"SubString{String}[""sweet"", ""ripe"", ""banana"", ""fruity"", ""pineapple"", ""juicy"", ""fruit"", ""fresh"", ""green"", ""cherry"", ""tropical"", ""apple"", ""pear""]"
CCCCCCC(=O)OCCC(C)C,"SubString{String}[""herbal"", ""banana"", ""unripe"", ""fruity"", ""grassy"", ""apple"", ""green"", ""oily"", ""pear"", ""winey""]"
C1CCCCCCCC(=O)OCCCCCCC1,"SubString{String}[""sweet"", ""animal"", ""amber"", ""balsamic"", ""musk""]"
CCCCOC(=O)CCCCCCCCC=C,"SubString{String}[""fatty"", ""floral"", ""winey"", ""fruity"", ""fusel"", ""buttery"", ""waxy"", ""brandy""]"
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,"SubString{String}[""fruity"", ""oily"", ""odorless""]"
CC(=O)CCC=C,"SubString{String}[""floral"", ""ethereal"", ""ketonic"", ""fruity"", ""gasoline"", ""pungent"", ""burnt""]"
CCCCC(=O)O,"SubString{String}[""rancid"", ""sweaty"", ""sour"", ""fruity"", ""acidic"", ""tobacco"", ""milky"", ""cheesy"", ""sharp""]"
CCCOC(=O)C,"SubString{String}[""sweet"", ""solvent"", ""fruity"", ""pear"", ""fusel"", ""raspberry"", ""celery"", ""pungent"", ""alcoholic"", ""ethereal""]"
CCCCN,"SubString{String}[""fishy"", ""ammoniacal"", ""cheesy""]"
CCCCS,"SubString{String}[""sulfurous"", ""fatty"", ""garlic"", ""coffee"", ""onion"", ""cooked"", ""beefy"", ""roasted"", ""egg"", ""nog"", ""meaty"", ""savory"", ""cheesy""]"
C(CS)CS,"SubString{String}[""meaty"", ""sulfurous"", ""onion"", ""garlic""]"
COCOC,"SubString{String}[""chloroform"", ""alcoholic"", ""ethereal"", ""fruity"", ""gasoline"", ""rum""]"
CCNCC,"SubString{String}[""fishy"", ""ammoniacal"", ""cheesy""]"
CCOC=O,"SubString{String}[""fermented"", ""rose"", ""cognac"", ""winey"", ""green"", ""ethereal"", ""alcoholic"", ""fruity"", ""rum""]"
CCON=O,"SubString{String}[""sweet"", ""rummy"", ""fruity"", ""ethereal"", ""fermented"", ""rum""]"
C1=CNC=C1,"SubString{String}[""sweet"", ""nutty"", ""warm"", ""ethereal"", ""burnt""]"
CC1=C(C=CO1)SSCC2=CC=CO2,"SubString{String}[""meaty"", ""sulfurous"", ""savory""]"
C1=COC=C1,"SubString{String}[""ethereal"", ""burnt"", ""smoky""]"
C1CCSC1,"SubString{String}[""cabbage"", ""sulfurous"", ""meaty"", ""alliaceous"", ""burnt""]"
C1=CSC=C1,"SubString{String}[""garlic"", ""sulfurous"", ""alliaceous"", ""solvent"", ""aromatic"", ""pungent""]"
C(CC(=O)O)C(=O)O,"SubString{String}[""odorless""]"
CC(C)COC(=O)C,"SubString{String}[""sweet"", ""banana"", ""fruity"", ""apple"", ""ethereal"", ""tropical"", ""pear"", ""pineapple""]"
CCCCCCCCCCCCCC(=O)OC(C)C,"SubString{String}[""oily"", ""fatty"", ""faint""]"
CCCCCCCCCCCCCC(=O)OCCCC,"SubString{String}[""fatty"", ""oily"", ""waxy""]"
CCCCCCCCCC(=O)OCC,"SubString{String}[""sweet"", ""grape"", ""brandy"", ""fruity"", ""oily"", ""apple"", ""waxy"", ""fatty"", ""nutty"", ""cognac"", ""winey""]"
CCCCCCCCOC(=O)CCC,"SubString{String}[""sweet"", ""natural"", ""fruity"", ""oily"", ""creamy"", ""fresh"", ""green"", ""jasmin"", ""earthy"", ""waxy"", ""fatty"", ""herbal"", ""floral""]"
CCOC(=O)CCCCCCCCC(=O)OCC,"SubString{String}[""melon"", ""fruity"", ""quince"", ""winey""]"
CCCCCCCCCC(C)C=O,"SubString{String}[""metallic"", ""aldehydic"", ""tuberose"", ""amber"", ""fresh"", ""coumarinic"", ""mossy"", ""gassy"", ""citrus"", ""waxy"", ""fruity"", ""fatty"", ""dry""]"
CCCCCCCCCC(=O)OC,"SubString{String}[""fermented"", ""floral"", ""winey"", ""fruity"", ""oily"", ""fatty"", ""cognac""]"
CCCCCC(=O)C,"SubString{String}[""sweet"", ""spicy"", ""banana"", ""herbal"", ""fruity"", ""coconut"", ""creamy"", ""green"", ""woody"", ""cheesy"", ""ketonic"", ""cinnamon""]"
CC(C)CCOC=O,"SubString{String}[""dry"", ""estery"", ""cortex"", ""plum"", ""fruity"", ""apple"", ""waxy"", ""green"", ""ethereal"", ""earthy"", ""currant"", ""black"", ""sharp"", ""winey"", ""sweet""]"
CCCCCN,"SubString{String}[""fishy"", ""ammoniacal"", ""fermented"", ""fresh"", ""cheesy""]"
CCCCC=O,"SubString{String}[""fermented"", ""berry"", ""nutty"", ""fruity"", ""bready"", ""pungent"", ""chocolate""]"
CCCCCS,"SubString{String}[""vegetable"", ""meaty"", ""sulfurous"", ""fatty"", ""roasted"", ""green"", ""tropical"", ""cabbage""]"
CCCOC=O,"SubString{String}[""sweet"", ""rummy"", ""berry"", ""fruity"", ""green"", ""ethereal"", ""rum""]"
CCSSCC,"SubString{String}[""greasy"", ""ripe"", ""garlic"", ""alliaceous"", ""onion"", ""gassy"", ""vegetable"", ""fruity"", ""tropical"", ""sulfurous""]"
C1CNCCN1,"SubString{String}[""ammoniacal"", ""fishy""]"
C1=CC=NC=C1,"SubString{String}[""fishy"", ""ammoniacal"", ""sour"", ""burnt""]"
C1CCNCC1,"SubString{String}[""sweet"", ""animal"", ""floral"", ""fishy""]"
CC(=CCCC(=O)C)C,"SubString{String}[""musty"", ""banana"", ""fruity"", ""cheesy"", ""apple"", ""creamy"", ""lemongrass"", ""green"", ""citrus"", ""ketonic"", ""nutty"", ""coffee"", ""filbert"", ""roasted"", ""hazelnut"", ""oily"", ""herbal""]"
CC/C=C/CC1=C(C(=O)CC1)C,"SubString{String}[""spicy"", ""fatty"", ""floral"", ""fruity"", ""creamy"", ""waxy"", ""lactonic"", ""jasmine"", ""sweet"", ""herbal""]"
CC(C)C(=O)OC/C=C/C1=CC=CC=C1,"SubString{String}[""sweet"", ""spicy"", ""floral"", ""fruity"", ""pineapple"", ""cinnamyl"", ""almond"", ""tropical"", ""apple"", ""plum"", ""banana""]"
CCCCCCCC(=O)OC,"SubString{String}[""sweet"", ""vegetable"", ""aldehydic"", ""herbal"", ""orange"", ""green"", ""waxy"", ""fruity"", ""winey""]"
CCCCCC#CC(=O)OC,"SubString{String}[""vegetable"", ""leafy"", ""fatty"", ""floral"", ""melon"", ""cucumber"", ""violet"", ""fruity"", ""leaf"", ""green"", ""waxy"", ""winey""]"
CCCCCCC(=O)C,"SubString{String}[""cheesy"", ""parmesan"", ""cheese"", ""musty"", ""natural"", ""bleu"", ""weedy"", ""herbal"", ""woody"", ""earthy"", ""dairy"", ""ketonic"", ""apple"", ""green"", ""fatty"", ""fruity""]"
CCCCCCC(=O)O,"SubString{String}[""fermented"", ""rancid"", ""sweaty"", ""sour"", ""fruity"", ""pineapple"", ""cheesy"", ""waxy"", ""fatty""]"
CCCCCCN,"SubString{String}[""musty"", ""fishy"", ""ammoniacal"", ""cheesy""]"
CCCCCCO,"SubString{String}[""sweet"", ""pungent"", ""herbal"", ""fruity"", ""oily"", ""fusel"", ""green"", ""ethereal"", ""alcoholic"", ""fatty"", ""winey""]"
C(CC=O)CC=O,"SubString{String}[""fruity"", ""pungent"", ""medicinal"", ""green"", ""apple""]"
CCCCCCS,"SubString{String}[""meaty"", ""sulfurous"", ""fatty"", ""garlic"", ""nutty"", ""alliaceous"", ""burnt"", ""roasted"", ""savory"", ""coffee""]"
C=CCOCCO,"SubString{String}[""mushroom"", ""mild"", ""solvent""]"
CCCSCCC,"SubString{String}[""garlic"", ""onion"", ""alliaceous"", ""green"", ""sulfurous""]"
CC(=O)OCCOC(=O)C,"SubString{String}[""floral"", ""estery"", ""alcoholic"", ""green"", ""oily"", ""winey"", ""sweet""]"
CCCCCCCCCCCCCCCCCC(=O)OCC,"SubString{String}[""waxy"", ""odorless""]"
CCCCCCC=C,"SubString{String}[""gasoline""]"
CCCCCCCO,"SubString{String}[""sweet"", ""musty"", ""vegetable"", ""leafy"", ""banana"", ""herbal"", ""fruity"", ""violet"", ""apple"", ""green"", ""peony"", ""woody"", ""pungent"", ""fatty"", ""fresh""]"
CCCCCCC=O,"SubString{String}[""aldehydic"", ""fatty"", ""herbal"", ""cognac"", ""ozone"", ""fresh"", ""green"", ""citrus"", ""nutty"", ""sweet""]"
CCCCCCC#CC(=O)OC,"SubString{String}[""floral"", ""melon"", ""cucumber"", ""violet"", ""leaf"", ""green"", ""leafy""]"
COC(=O)CCCCCCCCC=C,"SubString{String}[""fatty"", ""rose"", ""floral"", ""fungal"", ""earthy"", ""citrus"", ""waxy"", ""fruity"", ""dairy"", ""winey""]"
CCCCCCCCC,"SubString{String}[""gasoline""]"
CCCCCCCCO,"SubString{String}[""sweet"", ""aldehydic"", ""mushroom"", ""fatty"", ""rose"", ""floral"", ""coconut"", ""orange"", ""green"", ""citrus"", ""waxy""]"
CCCCCCCCS,"SubString{String}[""sulfurous"", ""vegetable"", ""meaty"", ""roasted""]"
CC(=CCC/C(=C/CC/C(=C/CCC(C)(C=C)O)/C)/C)C,"SubString{String}[""floral"", ""balsamic"", ""rose"", ""sweet""]"
C(C(=O)C(=O)O)O,"SubString{String}[""cabbage"", ""radish"", ""sour"", ""creamy"", ""burnt"", ""buttery""]"
CC(=CCC/C(=C/CC/C(=C/CCC(=O)C)/C)/C)C,"SubString{String}[""flower"", ""ether"", ""creamy"", ""winey"", ""floral"", ""sweet""]"
CCCCCCCC(=O)OCCCCCC,"SubString{String}[""estery"", ""berry"", ""fruity"", ""apple"", ""green"", ""waxy"", ""fatty"", ""herbal""]"
CCCCCCOC(=O)CCCC,"SubString{String}[""fruity"", ""green"", ""oily"", ""brandy"", ""apple"", ""musk"", ""sweet""]"
C[C@H](CCC=C(C)C)CCO,"SubString{String}[""leafy"", ""petal"", ""floral"", ""citronella"", ""rose"", ""oily""]"
CCCCC=CCC(=O)OCC,"SubString{String}[""tropical"", ""fruity"", ""winey"", ""fatty"", ""pineapple""]"
CC(C)CC(=O)OC(C=C)C(C)CC=C(C)C,"SubString{String}[""herbal"", ""apricot"", ""lavender"", ""bergamot"", ""citrus"", ""peach"", ""sage"", ""fruity"", ""sweet""]"
CC(=O)OC(C)(C)CCCC(=C)C=C,"SubString{String}[""nutmeg"", ""floral"", ""lavender"", ""bergamot"", ""woody"", ""citrus"", ""cortex"", ""herbal"", ""buchu"", ""fresh"", ""pear"", ""sweet""]"
CCCCCCC(=O)OCCCCCC,"SubString{String}[""leafy"", ""foliage"", ""cognac"", ""green"", ""sour"", ""fruity"", ""fatty"", ""fresh""]"
CCCCCCCCC(=O)O,"SubString{String}[""dirty"", ""dairy"", ""cheesy"", ""waxy"", ""fatty"", ""nutty""]"
CCCCCCCOC(=O)C,"SubString{String}[""aldehydic"", ""rummy"", ""fatty"", ""winey"", ""apricot"", ""pear"", ""fresh"", ""green"", ""woody"", ""fruit"", ""ripe"", ""citrus"", ""waxy"", ""fruity"", ""floral""]"
CCCCCCCCCC(=O)C,"SubString{String}[""fatty"", ""floral"", ""fruity"", ""pineapple"", ""creamy"", ""orris"", ""ketonic"", ""waxy"", ""rose"", ""orange""]"
CCCCCCCCOC(=O)C,"SubString{String}[""mushroom"", ""herbal"", ""green"", ""earthy"", ""waxy"", ""citrus"", ""fruity"", ""peach"", ""orange"", ""jasmine"", ""floral""]"
CCCCCCCCCCOC(=O)C,"SubString{String}[""sweet"", ""clean"", ""fatty"", ""creamy"", ""fresh"", ""soapy"", ""cloth"", ""laundered"", ""citrus"", ""waxy"", ""rose"", ""fruity"", ""orange"", ""pineapple""]"
CC(=O)OCCCCCCCCCC=C,"SubString{String}[""meaty"", ""clean"", ""fatty"", ""rose"", ""fruity"", ""fresh"", ""licorice"", ""waxy"", ""dairy"", ""cheesy"", ""cloth"", ""laundered"", ""sharp"", ""honey"", ""floral""]"
CCCCCCCOC=O,"SubString{String}[""vegetable"", ""plum"", ""floral"", ""herbal"", ""cucumber"", ""fruity"", ""apple"", ""green"", ""waxy"", ""fatty"", ""sharp""]"
CCCCCCCCCCO,"SubString{String}[""sweet"", ""clean"", ""fatty"", ""floral"", ""orange"", ""watery"", ""waxy"", ""oily""]"
CCCCCCCCCC=O,"SubString{String}[""sweet"", ""aldehydic"", ""floral"", ""orange"", ""peel"", ""citrus"", ""rind"", ""waxy""]"
CCCCCCCCOC=O,"SubString{String}[""rose"", ""cucumber"", ""fruity"", ""orange"", ""waxy"", ""citrus"", ""green"", ""orris""]"
CCCCCCCCCCC(=O)O,"SubString{String}[""fatty"", ""coconut"", ""creamy"", ""cheesy"", ""waxy""]"
C=CCCCCCCCCC(=O)O,"SubString{String}[""sweet"", ""woody"", ""oily"", ""fatty"", ""waxy""]"
CCCCCCCCCCCCCCCC(=O)OC,"SubString{String}[""orris"", ""fatty"", ""oily"", ""waxy"", ""sweet""]"
C=CCCCCCCCCCO,"SubString{String}[""clean"", ""floral"", ""ozone"", ""fresh"", ""citrus"", ""waxy"", ""rose"", ""green"", ""fatty""]"
CCCCCCCCCCC=O,"SubString{String}[""aldehydic"", ""fatty"", ""floral"", ""watermelon"", ""pineapple"", ""cilantro"", ""orange"", ""green"", ""soapy"", ""cloth"", ""laundered"", ""citrus"", ""waxy"", ""sweet""]"
C=CCCCCCCCCC=O,"SubString{String}[""mandarin"", ""aldehydic"", ""fatty"", ""rose"", ""soapy"", ""citrus"", ""waxy""]"
CCCCCCCCCCCCO,"SubString{String}[""fatty"", ""honey"", ""coconut"", ""earthy"", ""soapy"", ""waxy"", ""citrus"", ""oily"", ""floral""]"
CCCCCCCCCCCC=O,"SubString{String}[""aldehydic"", ""floral"", ""orange"", ""rind"", ""green"", ""soapy"", ""citrus"", ""waxy"", ""sweet""]"
CCCCCCCCCCCCS,"SubString{String}[""meaty"", ""skunk"", ""sulfurous"", ""cooked"", ""fatty""]"
CCCCCCCCCCCCCCCCCC(=O)OC,"SubString{String}[""oily"", ""waxy"", ""odorless""]"
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC,"SubString{String}[""bland"", ""oily"", ""fatty""]"
CCCCCCCCCCCCOC(=O)C,"SubString{String}[""sweet"", ""clean"", ""fresh"", ""cloth"", ""laundered"", ""waxy"", ""rose"", ""citrus"", ""fruity""]"
CCCCCCCCCCCCCO,"SubString{String}[""musty"", ""woody"", ""fruity"", ""waxy"", ""sweet""]"
CCCCCCCCCCCCCCO,"SubString{String}[""fruity"", ""orris"", ""coconut"", ""waxy"", ""oily"", ""fatty""]"
CCCCCCCCCCCCCCCCCCO,"SubString{String}[""bland"", ""oily"", ""fatty""]"
CCCCCCCCCCCCCCCCCCCC,"SubString{String}[""waxy""]"
CC(=O)C1=CC=CC=N1,"SubString{String}[""musty"", ""fatty"", ""nutty"", ""corn"", ""chip"", ""tobacco"", ""popcorn""]"
CC(CO)C1=CC=CC=C1,"SubString{String}[""spicy"", ""lilac"", ""balsamic"", ""green"", ""hyacinth"", ""honeysuckle"", ""floral"", ""sweet""]"
CC1=C(N=C(C(=N1)C)C)C,"SubString{String}[""lard"", ""musty"", ""vanilla"", ""dry"", ""cocoa"", ""nutty"", ""coffee"", ""burnt"", ""brown"", ""chocolate""]"
CC1=CC(=O)CC(C1=O)(C)C,"SubString{String}[""sweet"", ""musty"", ""tea"", ""leafy"", ""tobacco"", ""brown"", ""lemon"", ""woody"", ""citrus"", ""hay"", ""honey""]"
COC(C1=CC=CC=C1)OC,"SubString{String}[""vegetable"", ""floral"", ""potato"", ""nutty"", ""rooty"", ""winey"", ""fruity"", ""spinach"", ""green"", ""almond"", ""fungal"", ""earthy"", ""sharp"", ""sweet""]"
CCCCCC1=C(CCC1=O)C,"SubString{String}[""sweet"", ""spicy"", ""floral"", ""woody"", ""herbal"", ""fruity"", ""fresh"", ""outdoors"", ""powdery"", ""jasmin"", ""myrrh"", ""jasmine""]"
CC(C)C(=O)OC1CCCCC1,"SubString{String}[""fruity"", ""apple"", ""banana"", ""sweet""]"
CCCCCCC1=CC=CC=N1,"SubString{String}[""mutton"", ""fatty"", ""green"", ""nutty"", ""vegetable""]"
CC(=O)C1=CC(=C(C=C1)OC)OC,"SubString{String}[""sweet"", ""woody"", ""floral"", ""vanilla"", ""almond"", ""balsamic""]"
CC1(CCC=C2C13CCC(C3)C2(C)C)C,"SubString{String}[""woody"", ""amber"", ""dusty"", ""incense""]"
CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,"SubString{String}[""sweet"", ""dry"", ""spicy"", ""fresh"", ""woody"", ""tobacco""]"
CC1=CCC(CC1)C(C)(C)OC(=O)CC(C)C,"SubString{String}[""sweet"", ""orange"", ""balsamic"", ""incense"", ""frankincense"", ""pine"", ""citrus"", ""floral""]"
CC(C)(C=C)O,"SubString{String}[""herbal"", ""earthy"", ""oily"", ""ethereal"", ""fruity""]"
CC(=CCCC(C)(C=C)OC(=O)C)C,"SubString{String}[""sweet"", ""lavender"", ""green"", ""bergamot"", ""woody"", ""citrus"", ""fruity"", ""pear"", ""floral""]"
CC(=CCCC(C)(C=C)OC=O)C,"SubString{String}[""fatty"", ""herbal"", ""lavender"", ""green"", ""bergamot"", ""woody"", ""soapy"", ""citrus"", ""fresh""]"
CC1CC(CC(C1)(C)C)O,"SubString{String}[""musty"", ""spicy"", ""mentholic"", ""cooling"", ""minty"", ""herbal"", ""camphoreous"", ""mint""]"
CC(=O)CO,"SubString{String}[""caramellic"", ""ethereal"", ""pungent"", ""sweet"", ""green"", ""winey""]"
CC1=C(C(CC=C1)(C)C)C=O,"SubString{String}[""metallic"", ""spicy"", ""medicinal"", ""herbal"", ""camphoreous"", ""powdery"", ""phenolic"", ""fresh"", ""tobacco"", ""woody"", ""rosemary""]"
CCC(C)C(=O)O,"SubString{String}[""fermented"", ""dirty"", ""cheesy"", ""roquefort"", ""cheese"", ""fruity"", ""acidic"", ""pungent""]"
CCCC=CC=CC=CC=C,"SubString{String}[""woody"", ""earthy"", ""galbanum"", ""leafy"", ""green"", ""fruity""]"
C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O,"SubString{String}[""sweet"", ""fruity"", ""balsamic"", ""honey"", ""woody"", ""floral""]"
CC1CC(CC(C1)(C)C)OC(=O)C2=CC=CC=C2O,"SubString{String}[""menthol"", ""mild"", ""medicinal"", ""odorless""]"
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O,"SubString{String}[""sweet"", ""clean"", ""herbal"", ""oily"", ""balsam"", ""balsamic""]"
CCOC(=O)C1=CC=CC=C1O,"SubString{String}[""sweet"", ""spicy"", ""floral"", ""cooling"", ""balsamic"", ""minty"", ""wintergreen"", ""tutti"", ""frutti"", ""fruity""]"
C/C/1=C/CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,"SubString{String}[""woody"", ""spicy"", ""dry""]"
CC1=C(C(=O)C=CO1)O,"SubString{String}[""sweet"", ""cotton"", ""candy"", ""caramellic"", ""fruity"", ""burnt"", ""jammy"", ""bread"", ""baked"", ""bready"", ""strawberry"", ""berry""]"
CC1=C(C(=CC=C1)C)S,"SubString{String}[""metallic"", ""meaty"", ""sulfurous"", ""smoky"", ""phenolic"", ""roasted""]"
CC(=O)C1=CC=CC=C1O,"SubString{String}[""sweet"", ""almond"", ""bitter"", ""honey"", ""melon"", ""herbal"", ""phenolic"", ""tobacco"", ""hawthorn"", ""cherry"", ""tropical"", ""sharp"", ""hay"", ""cinnamon"", ""coumarinic""]"
C[N+](C)(C)[O-],"SubString{String}[""odorless"", ""fishy""]"
CCCCCC(C)C(=O)O,"SubString{String}[""sweaty"", ""buttermilk"", ""green"", ""cheesy"", ""waxy"", ""fatty"", ""sour""]"
CC(=CCC/C(=C/C(=O)OC)/C)C,"SubString{String}[""floral"", ""fruity"", ""green"", ""waxy""]"
COC(=O)C1=CC=CC=C1O,"SubString{String}[""sweet"", ""root"", ""beer"", ""camphoreous"", ""phenolic"", ""minty"", ""wintergreen"", ""aromatic"", ""warm""]"
C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,"SubString{String}[""medicinal"", ""vanilla"", ""camphoreous"", ""balsamic"", ""spicy"", ""sweet""]"
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,"SubString{String}[""metallic"", ""rose"", ""herbal"", ""powdery"", ""balsamic"", ""geranium""]"
C1=CC=C2C=NC=CC2=C1,"SubString{String}[""sweet"", ""anise"", ""almond"", ""bitter"", ""herbal"", ""balsamic"", ""anisic""]"
C1CC(=O)OC2=CC=CC=C21,"SubString{String}[""sweet"", ""vanilla"", ""spicy"", ""cinnamon"", ""herbal"", ""coconut"", ""creamy"", ""coumarinic"", ""balsamic"", ""tonka"", ""hay"", ""tobacco"", ""nutty""]"
C(CCS)CS,"SubString{String}[""meaty"", ""sulfurous"", ""burnt""]"
CC(=CCOC(=O)C)C,"SubString{String}[""sweet"", ""ripe"", ""banana"", ""fruity"", ""fresh"", ""balsamic"", ""jasmin"", ""heliotrope"", ""green"", ""apple""]"
C(CCCS)CCS,"SubString{String}[""meaty"", ""sulfurous"", ""fatty"", ""burnt"", ""fungal"", ""savory"", ""mushroom""]"
C(CCCCS)CCCS,"SubString{String}[""earthy"", ""meaty"", ""sulfurous"", ""mushroom""]"
